Graz_Klagenfurt						
order	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Toxins_and_superantigens	39.043	-5.073	0.959	-5.289	0	0
Isoprenoids	6901.719	0.697	0.199	3.498	0	0.001
Cytochrome_biogenesis	3285.301	-0.846	0.226	-3.741	0	0.001
Flagellar_motility_in_Prokaryota	726.52	-0.813	0.232	-3.499	0	0.001
Siderophores	381.667	2.413	0.688	3.507	0	0.001
Biotin	504.411	-2.38	0.64	-3.722	0	0.001
Protein_and_nucleoprotein_secretion_system_Type_IV	106.218	-3.797	1.018	-3.729	0	0.001
Folate_and_pterines	11793.811	-0.514	0.148	-3.463	0.001	0.002
CO2_fixation	6547.866	0.775	0.225	3.444	0.001	0.002
Clustering-based_subsystems	3728.902	0.71	0.21	3.384	0.001	0.002
Anaerobic_degradation_of_aromatic_compounds	767.356	3.38	0.972	3.477	0.001	0.002
Aromatic_amino_acids_and_derivatives	9627.886	-0.721	0.221	-3.258	0.001	0.003
Protein_translocation_across_cytoplasmic_membrane	3518.458	0.544	0.167	3.253	0.001	0.003
Adhesion	3536.2	0.904	0.291	3.103	0.002	0.005
Translation	2424.465	-0.364	0.117	-3.122	0.002	0.005
Shiga_toxin_cluster	64.545	4.04	1.297	3.115	0.002	0.005
Spore_DNA_protection	8.255	-6.217	2.036	-3.053	0.002	0.006
Probably_GTP_or_GMP_signaling_related	1563.58	0.455	0.157	2.903	0.004	0.009
Carbohydrates	220.803	-3.344	1.19	-2.809	0.005	0.013
Aminosugars	3739.848	0.493	0.183	2.7	0.007	0.017
Resistance_to_antibiotics_and_toxic_compounds	10268.544	-0.281	0.105	-2.667	0.008	0.018
Ribosomal_Protein_L28P_relates_to_a_set_of_uncharacterized_proteins	5070.535	0.611	0.229	2.671	0.008	0.018
Bacterial_cytostatics_differentiation_factors_and_antibiotics	72.49	3.411	1.297	2.631	0.009	0.02
D-tyrosyl-tRNA(Tyr)_deacylase_(EC_3.1.-.-)_cluster	372.073	-0.87	0.336	-2.587	0.01	0.023
Putrescine/GABA_utilization_cluster-temporalto_add_to_SSs	42.371	2.247	0.882	2.547	0.011	0.025
Arginine_urea_cycle_polyamines	13272.45	-0.243	0.096	-2.521	0.012	0.026
Inorganic_sulfur_assimilation	171.723	-1.658	0.654	-2.534	0.011	0.026
Protein_biosynthesis	56398.681	0.445	0.178	2.5	0.012	0.027
Acid_stress	929.06	3.058	1.238	2.47	0.014	0.029
Isoprenoid/cell_wall_biosynthesis:_PREDICTED_UNDECAPRENYL_DIPHOSPHATE_PHOSPHATASE	1189.159	0.477	0.196	2.434	0.015	0.032
Cell_Division	4409.601	0.598	0.247	2.418	0.016	0.033
Organic_sulfur_assimilation	1086.71	-0.666	0.281	-2.371	0.018	0.037
Quinone_cofactors	2094.585	1.061	0.459	2.311	0.021	0.043
Cold_shock	740.205	0.463	0.205	2.256	0.024	0.049
Tricarboxylate_transporter	7.857	-5.178	2.313	-2.239	0.025	0.05
Hypothetical_in_Lysine_biosynthetic_cluster	599.384	-0.448	0.211	-2.125	0.034	0.066
Bacteriocins_ribosomally_synthesized_antibacterial_peptides	680.041	1.436	0.734	1.956	0.05	0.098
Peripheral_pathways_for_catabolism_of_aromatic_compounds	484.52	1.755	0.903	1.944	0.052	0.1
Programmed_Cell_Death_and_Toxin-antitoxin_Systems	1616.484	1.332	0.688	1.936	0.053	0.101
DNA_polymerase_III_epsilon_cluster	317.007	1.798	0.946	1.9	0.057	0.108
Biosynthesis_of_galactoglycans_and_related_lipopolysacharides	718.343	0.407	0.217	1.877	0.061	0.112
Fermentation	10135.275	-0.196	0.105	-1.862	0.063	0.115
Alanine_serine_and_glycine	7704.068	-0.182	0.099	-1.836	0.066	0.12
Uni-_Sym-_and_Antiporters	1243.571	0.55	0.305	1.804	0.071	0.127
Protein_secretion_system_Type_II	16.911	-1.883	1.046	-1.8	0.072	0.127
Pyrimidines	9900.12	0.285	0.16	1.782	0.075	0.131
Lipoic_acid	6.738	3.059	1.748	1.75	0.08	0.139
Hypothetical_lipase_related_to_Phosphatidate_metabolism	6.258	-4.375	2.603	-1.681	0.093	0.159
Pyridoxine	3767.886	-0.371	0.228	-1.63	0.103	0.175
Protein_degradation	12438.181	0.25	0.154	1.622	0.105	0.176
Chemotaxis_response_regulators	3.031	-4.773	2.986	-1.598	0.11	0.182
Coenzyme_A	3986.969	-0.255	0.163	-1.566	0.117	0.192
Three_hypotheticals_linked_to_lipoprotein_biosynthesis	1276.857	-0.419	0.277	-1.511	0.131	0.212
Gram-Positive_cell_wall_components	5642.422	0.379	0.287	1.318	0.187	0.301
Pathogenicity_islands	1904.446	0.379	0.29	1.304	0.192	0.305
Sulfatases_and_sulfatase_modifying_factor_1_(and_a_hypothetical)	1.352	-3.611	2.994	-1.206	0.228	0.358
Glutamine_glutamate_aspartate_asparagine_ammonia_assimilation	4984.915	-0.2	0.167	-1.196	0.232	0.36
Purines	23083.978	0.187	0.16	1.169	0.242	0.373
Glycoside_hydrolases	12.643	-1.475	1.272	-1.16	0.246	0.375
Cell_wall_of_Mycobacteria	3987.488	-0.313	0.272	-1.15	0.25	0.378
Invasion_and_intracellular_resistance	101.136	1.079	1.045	1.033	0.302	0.451
Protein_secretion_system_Type_V	1.999	-2.986	2.972	-1.005	0.315	0.466
Protein_folding	7912.805	-0.133	0.139	-0.957	0.339	0.497
Quorum_sensing_and_biofilm_formation	951.228	1.101	1.299	0.848	0.397	0.571
Coenzyme_M	0.651	-2.56	3.008	-0.851	0.395	0.571
Methylamine_utilization	233.316	-0.403	0.483	-0.835	0.404	0.575
Selenoproteins	2032.439	-0.085	0.105	-0.805	0.421	0.588
Ribosome-related_cluster	1858.188	0.198	0.245	0.808	0.419	0.588
Triacylglycerols	187.828	1.151	1.44	0.799	0.424	0.588
DNA_metabolism	11.123	0.966	1.283	0.753	0.451	0.621
Phages_Prophages	20567.145	0.128	0.177	0.723	0.47	0.64
CRISPRs_and_associated_hypotheticals	0.167	2.07	3.056	0.677	0.498	0.673
Protein_secretion_system_Type_VIII_(Extracellular_nucleation/precipitation_pathway_ENP)	0.946	-1.794	2.695	-0.666	0.506	0.677
Protein_secretion_system_Type_VI	2.126	-1.122	1.865	-0.601	0.548	0.727
Flagella_protein?	0.377	-1.781	3.027	-0.588	0.556	0.732
Protein_export?	3851.156	0.142	0.247	0.574	0.566	0.739
Regulation_of_virulence	276.202	0.348	0.634	0.548	0.584	0.755
TldD_cluster	0.651	-1.564	3.002	-0.521	0.602	0.767
Putative_Isoquinoline_1-oxidoreductase_subunit	0.096	1.604	3.068	0.523	0.601	0.767
DNA_repair	41116.528	-0.082	0.162	-0.507	0.612	0.772
Biosynthesis_of_phenylpropanoids	0.075	1.461	3.072	0.476	0.634	0.794
Electron_accepting_reactions	1712.606	0.264	0.579	0.456	0.648	0.799
Electron_transport_and_photophosphorylation	0.066	1.399	3.073	0.455	0.649	0.799
Periplasmic_Stress	3.328	-0.692	1.726	-0.401	0.688	0.841
DNA_recombination	1443.461	-0.111	0.3	-0.37	0.711	0.852
Gene_Transfer_Agent_(GTA)	0.033	1.129	3.077	0.367	0.714	0.852
Catabolism_of_an_unknown_compound	0.033	1.129	3.077	0.367	0.714	0.852
Protein_secretion_system_Type_VII_(Chaperone/Usher_pathway_CU)	1.587	-0.402	1.263	-0.319	0.75	0.882
Pyruvate_kinase_associated_cluster	0.21	-0.981	3.057	-0.321	0.748	0.882
CRISPs	7.979	0.443	1.483	0.299	0.765	0.886
Social_motility_and_nonflagellar_swimming_in_bacteria	0.472	-0.903	3.016	-0.299	0.765	0.886
Putative_asociate_of_RNA_polymerase_sigma-54_factor_rpoN	440.423	-0.133	0.519	-0.255	0.798	0.918
Hypothetical_protein_possible_functionally_linked_with_Alanyl-tRNA_synthetase	372.252	-0.113	0.474	-0.237	0.812	0.92
Plant_Octadecanoids	0.168	-0.729	3.067	-0.238	0.812	0.92
Plant-Prokaryote_DOE_project	67830.71	0.025	0.138	0.178	0.858	0.964
RNA_processing_and_modification	33357.285	-0.018	0.104	-0.171	0.864	0.964
NAD_and_NADP	8481.653	0.028	0.177	0.159	0.874	0.968
Lysine_threonine_methionine_and_cysteine	24152.24	-0.024	0.175	-0.139	0.89	0.971
Proline_and_4-hydroxyproline	49.748	0.129	1.006	0.128	0.898	0.971
Putative_GGDEF_domain_protein_related_to_agglutinin_secretion	0.113	-0.379	3.076	-0.123	0.902	0.971
Proteolytic_pathway	0.037	0.382	3.079	0.124	0.901	0.971
DNA_replication	14880.045	-0.021	0.197	-0.107	0.915	0.975
Protein_secretion_system_Type_III	0.979	-0.304	2.963	-0.103	0.918	0.975
Nucleotidyl-phosphate_metabolic_cluster	3022.903	-0.013	0.256	-0.051	0.959	0.98
Organic_acids	2034.986	-0.012	0.221	-0.055	0.956	0.98
Plasmid_related_functions	7.912	-0.114	2.139	-0.053	0.958	0.98
Sodium_Ion-Coupled_Energetics	0.474	0.185	3.019	0.061	0.951	0.98
Lysine_Biosynthesis	0.317	-0.178	3.045	-0.059	0.953	0.98
Protein_secretion_system_Type_I	0.97	0.146	2.963	0.049	0.961	0.98
Dessication_stress	0	0	0	0	1	1
alpha-proteobacterial_cluster_of_hypotheticals	0	0	0	0	1	1
Signal_transduction_in_Eukaryotes	0	0	0	0	1	1
Lipid-derived_mediators	0	NA	NA	NA	NA	NA
