Leoben_Klagenfurt						
species	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Stenotrophomonas maltophilia	146.245	-1.76	0.576	-3.057	0.002	0.005
Colwellia psychrerythraea	14.871	-3.34	1.087	-3.072	0.002	0.005
Alicycliphilus denitrificans	8.885	2.426	0.781	3.106	0.002	0.005
Rhodococcus jostii	462.605	-2.749	0.912	-3.013	0.003	0.006
Carboxydothermus hydrogenoformans	111.204	-1.822	0.602	-3.029	0.002	0.006
Mycobacterium gilvum	180.315	-3.382	1.119	-3.021	0.003	0.006
Tolumonas auensis	63.621	3.06	1.012	3.024	0.002	0.006
Delftia acidovorans	38.222	1.858	0.61	3.047	0.002	0.006
Azoarcus sp. BH72	43.573	-2.718	0.893	-3.042	0.002	0.006
Thermincola potens	14.907	3.221	1.066	3.022	0.003	0.006
Streptococcus downei	1.993	4.154	1.368	3.037	0.002	0.006
Staphylococcus haemolyticus	1276.856	1.691	0.564	2.996	0.003	0.007
Buchnera aphidicola	2.953	4.265	1.444	2.955	0.003	0.007
Dehalococcoides ethenogenes	3.987	4.22	1.408	2.998	0.003	0.007
Achromobacter piechaudii	6.29	-2.687	0.898	-2.993	0.003	0.007
Corynebacterium pseudogenitalium	347.46	3.475	1.189	2.922	0.003	0.008
Olsenella uli	90.679	1.773	0.609	2.911	0.004	0.008
Acidothermus cellulolyticus	115.845	-3.314	1.123	-2.951	0.003	0.008
Vibrio alginolyticus	19.305	3.447	1.176	2.932	0.003	0.008
Cupriavidus necator	34.935	-2.385	0.809	-2.947	0.003	0.008
Aster yellows witches'-broom phytoplasma	6.096	-6.401	2.199	-2.91	0.004	0.008
Pseudomonas entomophila	11.425	-2.016	0.696	-2.895	0.004	0.009
Corynebacterium pseudotuberculosis	24.786	3.198	1.114	2.87	0.004	0.01
Deinococcus geothermalis	39.704	-3.153	1.1	-2.867	0.004	0.01
Eubacterium yurii	3.471	4.465	1.564	2.855	0.004	0.01
Acinetobacter baumannii	59.821	1.742	0.619	2.814	0.005	0.011
Tsukamurella paurometabola	8.035	3.853	1.368	2.817	0.005	0.011
Bacteroides sp. 1_1_6	7.989	-4.261	1.501	-2.839	0.005	0.011
Citrobacter rodentium	161.28	3.6	1.296	2.778	0.005	0.013
Leptotrichia buccalis	255.67	3.669	1.329	2.761	0.006	0.013
Corynebacterium resistens	87.982	3.443	1.247	2.761	0.006	0.013
Agrobacterium vitis	20.359	-4.068	1.468	-2.771	0.006	0.013
Streptococcus infantarius	19.963	-3.951	1.422	-2.778	0.005	0.013
Azospirillum sp. B510	8.601	-4.82	1.751	-2.753	0.006	0.013
Corynebacterium tuberculostearicum	293.046	3.733	1.364	2.736	0.006	0.014
Corynebacterium efficiens	741.944	-2.044	0.75	-2.723	0.006	0.014
Staphylococcus carnosus	432.841	3.725	1.355	2.75	0.006	0.014
Pseudomonas fluorescens	669.172	-1.096	0.401	-2.734	0.006	0.014
Brucella melitensis	5.46	-3.525	1.288	-2.735	0.006	0.014
Magnetococcus sp. MC-1	92.553	-3.697	1.351	-2.737	0.006	0.014
Clostridium sp. SS2/1	72.842	-1.555	0.571	-2.722	0.006	0.014
Shuttleworthia satelles	30.625	3.479	1.272	2.735	0.006	0.014
Aurantimonas manganoxydans	13.026	-4.348	1.59	-2.735	0.006	0.014
Coxiella burnetii	13.866	-4.34	1.589	-2.732	0.006	0.014
Planctomyces limnophilus	6.419	-3.83	1.402	-2.731	0.006	0.014
Rothia dentocariosa	5.841	3.216	1.186	2.711	0.007	0.015
Truepera radiovictrix	125.639	1.492	0.553	2.696	0.007	0.015
Herpetosiphon aurantiacus	61.62	2.517	0.934	2.696	0.007	0.015
Stenotrophomonas sp. SKA14	66.948	-1.629	0.601	-2.711	0.007	0.015
Burkholderia sp. 383	36.079	-2.651	0.982	-2.7	0.007	0.015
Bacteroides thetaiotaomicron	75.54	-2.885	1.071	-2.693	0.007	0.016
Xenorhabdus bovienii	24.207	-5.04	1.902	-2.649	0.008	0.018
Alcanivorax borkumensis	2.296	-2.655	1.007	-2.636	0.008	0.018
Tropheryma whipplei	84.269	-4.474	1.7	-2.631	0.009	0.019
Chlorobium chlorochromatii	59.468	-3.008	1.145	-2.626	0.009	0.019
Bacillus sp. SG-1	9.6	-2.583	0.981	-2.632	0.009	0.019
Nitrosococcus halophilus	44.032	3.544	1.36	2.605	0.009	0.02
Enterococcus italicus	231.26	3.186	1.233	2.583	0.01	0.021
Beutenbergia cavernae	48.187	-2.811	1.085	-2.591	0.01	0.021
Shewanella woodyi	10.435	-4.021	1.551	-2.592	0.01	0.021
Clostridium nexile	1181.817	1.809	0.708	2.555	0.011	0.023
Thermomonospora curvata	64.793	-3.071	1.205	-2.549	0.011	0.023
Bacillus mycoides	32.433	-2.666	1.045	-2.552	0.011	0.023
Pelodictyon phaeoclathratiforme	3.408	2.964	1.166	2.543	0.011	0.023
Azotobacter vinelandii	13.266	-2.512	0.993	-2.528	0.011	0.024
Cellulomonas flavigena	195.43	-3.289	1.308	-2.514	0.012	0.025
Caulobacter sp. K31	7.358	-3.021	1.199	-2.52	0.012	0.025
Bartonella henselae	2.446	3.167	1.262	2.511	0.012	0.026
Kocuria rhizophila	29.432	2.422	0.975	2.485	0.013	0.027
Pirellula staleyi	39.767	-1.281	0.514	-2.491	0.013	0.027
Granulibacter bethesdensis	16.059	-3.916	1.573	-2.49	0.013	0.027
Bartonella bacilliformis	12.269	-4.573	1.841	-2.484	0.013	0.027
Desulfococcus oleovorans	1.806	-2.397	0.968	-2.475	0.013	0.028
Clostridium phytofermentans	1502.455	1.268	0.515	2.462	0.014	0.029
Aeromonas salmonicida	36.678	1.467	0.597	2.459	0.014	0.029
Acidiphilium cryptum	43.048	-2.374	0.964	-2.462	0.014	0.029
Nitrobacter sp. Nb-311A	4.868	-3.492	1.428	-2.445	0.014	0.03
Pediococcus acidilactici	171.681	2.821	1.157	2.439	0.015	0.031
Clostridium bolteae	15.782	-2.849	1.171	-2.434	0.015	0.031
Clostridium botulinum	1608.495	1.148	0.475	2.415	0.016	0.032
Dechloromonas aromatica	9.084	-2.457	1.014	-2.423	0.015	0.032
Staphylococcus lugdunensis	416.335	3.162	1.311	2.413	0.016	0.033
Pseudoalteromonas haloplanktis	12.844	-3.079	1.291	-2.385	0.017	0.035
Corynebacterium genitalium	3.019	3.362	1.418	2.372	0.018	0.036
Sinorhizobium medicae	46.899	2.334	0.985	2.368	0.018	0.037
Ochrobactrum anthropi	18.938	-1.825	0.779	-2.342	0.019	0.039
Staphylococcus caprae	85.474	3.032	1.296	2.34	0.019	0.039
Frankia alni	60.36	-3.242	1.387	-2.337	0.019	0.039
Roseburia intestinalis	39.041	1.539	0.664	2.318	0.02	0.041
Catonella morbi	0.813	2.982	1.291	2.31	0.021	0.042
Cupriavidus metallidurans	56.061	-1.439	0.627	-2.295	0.022	0.044
Thermus thermophilus	10.999	-2.374	1.034	-2.296	0.022	0.044
Kineococcus radiotolerans	394.477	-2.533	1.112	-2.278	0.023	0.046
Synechocystis sp. PCC 6803	13.049	-2.892	1.271	-2.275	0.023	0.046
Mycobacterium sp. JLS	77.332	-2.74	1.209	-2.266	0.023	0.047
Croceibacter atlanticus	7.117	1.734	0.766	2.265	0.023	0.047
Sulfitobacter sp. EE-36	3.611	-5.644	2.492	-2.265	0.024	0.047
Dinoroseobacter shibae	68.759	-3.316	1.469	-2.257	0.024	0.048
Novosphingobium aromaticivorans	3.01	-2.544	1.128	-2.255	0.024	0.048
Bartonella quintana	18.006	-5.782	2.562	-2.257	0.024	0.048
Sulfitobacter sp. NAS-14.1	32.708	-5.435	2.41	-2.255	0.024	0.048
Idiomarina baltica	9.725	-3.65	1.625	-2.246	0.025	0.049
Rhodococcus equi	12.18	2.734	1.223	2.235	0.025	0.05
Eubacterium ventriosum	15.06	4.651	2.093	2.222	0.026	0.051
Lutiella nitroferrum	0.969	-2.953	1.327	-2.225	0.026	0.051
Herbaspirillum seropedicae	14.234	-2.854	1.283	-2.224	0.026	0.051
Syntrophus aciditrophicus	2.345	-1.911	0.866	-2.208	0.027	0.053
Anaerococcus lactolyticus	6.414	5.67	2.568	2.208	0.027	0.053
Veillonella dispar	5.538	5.122	2.324	2.204	0.028	0.054
Mycobacterium avium	131.486	-2.43	1.106	-2.197	0.028	0.054
Streptobacillus moniliformis	41.147	2.341	1.071	2.186	0.029	0.056
Fervidobacterium nodosum	47.173	-1.288	0.592	-2.174	0.03	0.057
Arcobacter butzleri	2.698	-4.801	2.207	-2.175	0.03	0.057
Pseudomonas amygdali	4.652	-2.451	1.127	-2.175	0.03	0.057
Ketogulonicigenium vulgare	7.199	-3.455	1.595	-2.166	0.03	0.058
Brucella microti	5.135	5.017	2.319	2.163	0.031	0.058
Geobacillus stearothermophilus	4.24	-3.171	1.463	-2.168	0.03	0.058
Conexibacter woesei	11.452	-2.962	1.384	-2.14	0.032	0.062
Bradyrhizobium sp. BTAi1	97.781	-1.62	0.759	-2.133	0.033	0.063
Granulicatella elegans	1.264	2.595	1.216	2.134	0.033	0.063
Xylanimonas cellulosilytica	31.405	2.582	1.215	2.125	0.034	0.064
Deferribacter desulfuricans	20.118	-2.473	1.166	-2.12	0.034	0.065
Bacillus halodurans	1015.667	1.029	0.494	2.083	0.037	0.07
Geobacillus sp. Y4.1MC1	412.901	1.268	0.609	2.083	0.037	0.07
Corynebacterium striatum	16.657	2.535	1.213	2.089	0.037	0.07
Teredinibacter turnerae	7.506	-2.521	1.211	-2.081	0.037	0.07
Ferrimonas balearica	1.568	3.812	1.831	2.082	0.037	0.07
Mycobacterium leprae	102.403	-1.528	0.739	-2.067	0.039	0.073
Chloroflexus aggregans	18.843	2.187	1.058	2.067	0.039	0.073
Francisella tularensis	2.467	-3.982	1.933	-2.06	0.039	0.074
Burkholderia ubonensis	2.07	-3.556	1.732	-2.053	0.04	0.075
Ruegeria pomeroyi	13.963	-2.829	1.383	-2.046	0.041	0.076
Caldicellulosiruptor owensensis	22.464	1.325	0.652	2.031	0.042	0.079
Streptococcus parasanguinis	9.247	2.677	1.321	2.027	0.043	0.079
Labrenzia aggregata	2.589	-5.153	2.54	-2.029	0.042	0.079
Cyanothece sp. PCC 7822	0.993	-2.446	1.217	-2.009	0.045	0.082
Flavobacterium psychrophilum	7.088	-2.085	1.039	-2.007	0.045	0.083
Lactobacillus oris	1.197	2.994	1.498	1.998	0.046	0.084
Synechococcus sp. WH 8102	3.651	-2.909	1.458	-1.996	0.046	0.085
Burkholderia multivorans	15.277	-2.038	1.027	-1.983	0.047	0.087
Polaromonas sp. JS666	61.018	-1.244	0.633	-1.966	0.049	0.09
Gluconacetobacter diazotrophicus	1.233	-3.76	1.914	-1.965	0.049	0.091
Gordonia bronchialis	115.333	-2.179	1.124	-1.938	0.053	0.096
Yersinia intermedia	0.789	-2.694	1.39	-1.938	0.053	0.096
Escherichia sp. 3_2_53FAA	1.767	-2.899	1.503	-1.929	0.054	0.097
Corynebacterium glutamicum	779.33	-1.161	0.601	-1.931	0.053	0.097
Alkaliphilus oremlandii	296.382	0.87	0.45	1.932	0.053	0.097
Photorhabdus asymbiotica	3.906	-2.865	1.487	-1.927	0.054	0.097
Turicibacter sanguinis	2.056	2.182	1.131	1.93	0.054	0.097
Sphingobacterium spiritivorum	5.623	-1.651	0.859	-1.922	0.055	0.099
Caldanaerobacter subterraneus	217.72	0.975	0.51	1.914	0.056	0.1
Psychrobacter arcticus	2.737	-2.4	1.256	-1.911	0.056	0.101
Staphylococcus saprophyticus	456.838	1.217	0.641	1.899	0.058	0.103
Moorella thermoacetica	35.662	1.49	0.784	1.9	0.057	0.103
Escherichia coli	302.662	1.148	0.606	1.895	0.058	0.104
Desulfuromonas acetoxidans	2.381	3.484	1.839	1.894	0.058	0.104
Granulicatella adiacens	18.343	1.469	0.777	1.891	0.059	0.105
Staphylococcus chromogenes	2.188	3.362	1.78	1.888	0.059	0.105
Reinekea blandensis	2.972	-3.581	1.913	-1.871	0.061	0.109
Klebsiella pneumoniae	202.867	1.604	0.861	1.862	0.063	0.111
Pectobacterium atrosepticum	486.638	1.493	0.802	1.862	0.063	0.111
Paenibacillus sp. oral taxon 786	3.317	-1.29	0.696	-1.854	0.064	0.112
Parvibaculum lavamentivorans	55.464	1.837	0.993	1.851	0.064	0.113
Corynebacterium urealyticum	138.833	-1.33	0.72	-1.847	0.065	0.114
Magnetospirillum magneticum	18.362	-2.714	1.469	-1.847	0.065	0.114
Brucella pinnipedialis	1.73	-3.647	1.982	-1.841	0.066	0.115
Lactobacillus johnsonii	487.65	0.95	0.517	1.837	0.066	0.116
Akkermansia muciniphila	1.85	2.343	1.284	1.824	0.068	0.119
Klebsiella variicola	18.589	2.084	1.152	1.809	0.07	0.123
Corynebacterium diphtheriae	379.435	-1.329	0.74	-1.797	0.072	0.126
Streptomyces pristinaespiralis	1.132	3.375	1.878	1.797	0.072	0.126
Mycobacterium marinum	3.734	2.266	1.273	1.781	0.075	0.13
Nakamurella multipartita	85.172	-1.178	0.663	-1.776	0.076	0.131
Erysipelotrichaceae bacterium 5_2_54FAA	4.782	5.333	3	1.777	0.075	0.131
Desulfotomaculum reducens	99.16	0.894	0.505	1.768	0.077	0.133
Providencia alcalifaciens	2.814	-4.839	2.766	-1.75	0.08	0.138
Paenibacillus vortex	0.824	-3.564	2.049	-1.739	0.082	0.141
Streptococcus salivarius	282.031	2.317	1.336	1.734	0.083	0.142
Lactobacillus vaginalis	91.699	2.761	1.59	1.736	0.082	0.142
Janibacter sp. HTCC2649	6.213	2.231	1.29	1.729	0.084	0.143
Histophilus somni	79.334	-0.825	0.48	-1.719	0.086	0.146
Bacillus sp. m3-13	1.542	-2.394	1.393	-1.718	0.086	0.146
Desulfovibrio desulfuricans	100.551	1.209	0.705	1.714	0.086	0.147
Synechococcus elongatus	18.059	-2.451	1.448	-1.692	0.091	0.154
Geobacter lovleyi	1.463	2.842	1.681	1.691	0.091	0.154
Meiothermus ruber	6.141	2.854	1.69	1.688	0.091	0.155
Fibrobacter succinogenes	63.262	-1.743	1.047	-1.665	0.096	0.162
Corynebacterium aurimucosum	492.891	1.452	0.876	1.657	0.098	0.164
Arthrobacter arilaitensis	46.445	0.923	0.557	1.655	0.098	0.164
Burkholderia pseudomallei	24.459	1.226	0.739	1.659	0.097	0.164
Chryseobacterium gleum	34.925	-1.357	0.818	-1.658	0.097	0.164
Staphylococcus aureus	4373.821	1.537	0.943	1.631	0.103	0.172
Streptosporangium roseum	51.756	-1.932	1.183	-1.633	0.102	0.172
Desulfotomaculum acetoxidans	20.373	1.552	0.952	1.629	0.103	0.173
Symbiobacterium thermophilum	108.316	-2.423	1.5	-1.615	0.106	0.177
Haliangium ochraceum	6.877	2.311	1.458	1.585	0.113	0.188
Nostoc punctiforme	4.442	2.218	1.403	1.581	0.114	0.189
Pseudomonas aeruginosa	109.228	0.682	0.433	1.577	0.115	0.19
Clostridium cellulolyticum	111.252	1.088	0.69	1.576	0.115	0.19
Providencia rettgeri	3.003	-4.466	2.835	-1.575	0.115	0.19
Dichelobacter nodosus	1.267	3.072	1.949	1.576	0.115	0.19
Azorhizobium caulinodans	5.775	1.78	1.131	1.574	0.116	0.191
Flavobacterium johnsoniae	109.869	-1.005	0.642	-1.565	0.117	0.193
Bordetella avium	122.747	1.118	0.716	1.563	0.118	0.194
Corynebacterium ammoniagenes	2.025	1.942	1.243	1.562	0.118	0.194
Leptospira biflexa	0.656	-2.839	1.839	-1.544	0.123	0.201
Chloroherpeton thalassium	1.42	-2.237	1.455	-1.538	0.124	0.203
Vibrio sp. AND4	3.179	-2.686	1.749	-1.535	0.125	0.204
Lactobacillus helveticus	353.167	1.104	0.723	1.527	0.127	0.205
Cupriavidus taiwanensis	13.311	-2.445	1.6	-1.528	0.126	0.205
Deinococcus deserti	1.853	4.017	2.627	1.529	0.126	0.205
Burkholderia dolosa	3.175	-2.058	1.347	-1.527	0.127	0.205
Streptococcus vestibularis	1.376	1.689	1.104	1.53	0.126	0.205
Nostoc sp. PCC 7120	33.607	0.863	0.569	1.518	0.129	0.208
Denitrovibrio acetiphilus	3.776	1.495	0.993	1.506	0.132	0.213
Yersinia pestis	133.42	-0.905	0.603	-1.501	0.133	0.215
Vibrio harveyi	1.462	-1.623	1.082	-1.5	0.134	0.215
Corynebacterium lipophiloflavum	2.22	2.39	1.599	1.495	0.135	0.216
Nitrosomonas europaea	4.556	1.556	1.039	1.497	0.134	0.216
Anabaena variabilis	18.455	0.982	0.66	1.489	0.136	0.218
Thermosynechococcus elongatus	53.899	1.412	0.952	1.484	0.138	0.22
Erythrobacter litoralis	32.536	1.42	0.959	1.481	0.139	0.221
Saccharomonospora viridis	50.133	-1.59	1.075	-1.479	0.139	0.222
Clostridium thermocellum	738.062	0.853	0.578	1.474	0.14	0.223
Pantoea sp. aB	1.116	-3.402	2.306	-1.475	0.14	0.223
Fusobacterium ulcerans	2.344	-4.061	2.758	-1.472	0.141	0.224
Leadbetterella byssophila	12.576	1.465	1.006	1.456	0.145	0.23
Yersinia aldovae	1.264	-2.624	1.807	-1.452	0.146	0.232
Agrobacterium tumefaciens	66.883	-0.695	0.483	-1.439	0.15	0.237
Sulfurimonas denitrificans	10.869	-2.834	1.971	-1.438	0.151	0.237
Pseudomonas savastanoi	11.806	-1.056	0.736	-1.435	0.151	0.238
Shigella sonnei	1.463	-1.905	1.339	-1.423	0.155	0.242
Treponema denticola	311.842	-0.702	0.493	-1.424	0.155	0.242
Sulfurovum sp. NBC37-1	0.86	2.503	1.756	1.425	0.154	0.242
Shigella dysenteriae	1.616	-2.078	1.462	-1.422	0.155	0.243
Gluconobacter oxydans	16.408	1.926	1.358	1.418	0.156	0.244
Mobiluncus curtisii	17.923	-1.394	0.984	-1.416	0.157	0.244
Selenomonas sp. oral taxon 149	0.934	2.634	1.859	1.417	0.157	0.244
Eggerthella lenta	152.365	-0.66	0.467	-1.414	0.157	0.245
Clostridium carboxidivorans	0.535	-2.584	1.833	-1.41	0.159	0.246
Marinomonas sp. MWYL1	103.319	1.008	0.72	1.401	0.161	0.25
Streptomyces coelicolor	55.626	-1.542	1.119	-1.379	0.168	0.26
Psychromonas ingrahamii	53.186	-1.388	1.01	-1.374	0.169	0.261
Riemerella anatipestifer	11.651	-1.41	1.026	-1.375	0.169	0.261
Eubacterium rectale	203.498	0.744	0.543	1.372	0.17	0.262
Geobacter metallireducens	2.849	-1.017	0.745	-1.365	0.172	0.265
Methylobacterium populi	3.742	-2.64	1.941	-1.36	0.174	0.267
Arthrobacter aurescens	1276.462	-1.389	1.03	-1.348	0.178	0.272
Corynebacterium glucuronolyticum	2.622	1.337	1.003	1.333	0.183	0.279
Vibrio caribbenthicus	0.848	-3.578	2.692	-1.329	0.184	0.281
Rhodococcus erythropolis	3.801	1.724	1.304	1.322	0.186	0.284
Clostridium ramosum	0.733	2.26	1.718	1.316	0.188	0.287
Neptuniibacter caesariensis	0.993	2.271	1.754	1.294	0.196	0.298
Geobacillus sp. WCH70	812.268	-0.835	0.648	-1.289	0.197	0.3
Aromatoleum aromaticum	3.453	-1.208	0.944	-1.279	0.201	0.304
Photobacterium angustum	0.544	-1.692	1.326	-1.277	0.202	0.305
Brevundimonas sp. BAL3	1.844	-1.352	1.058	-1.278	0.201	0.305
Micromonospora sp. L5	4.802	-3.154	2.486	-1.269	0.204	0.309
Staphylococcus hominis	168.516	1.684	1.339	1.258	0.208	0.314
Bacillus coagulans	3.235	-1.232	0.98	-1.257	0.209	0.314
Vibrio sp. Ex25	7.355	1.92	1.529	1.255	0.209	0.315
Shewanella loihica	2.005	1.897	1.513	1.254	0.21	0.315
Serratia proteamaculans	353.61	-0.661	0.534	-1.238	0.216	0.323
Campylobacter upsaliensis	2.615	-2.899	2.381	-1.218	0.223	0.334
Staphylococcus warneri	31.105	1.35	1.115	1.211	0.226	0.338
Micrococcus luteus	31.656	-1.131	0.937	-1.207	0.228	0.34
Acinetobacter johnsonii	2.015	-1.257	1.045	-1.203	0.229	0.341
Vibrio splendidus	37.205	-0.728	0.612	-1.188	0.235	0.349
Carnobacterium sp. AT7	7.948	1.469	1.24	1.185	0.236	0.349
Mycoplasma crocodyli	1.17	3.421	2.88	1.188	0.235	0.349
Caldicellulosiruptor kristjanssonii	1.154	-2.434	2.051	-1.187	0.235	0.349
Meiothermus silvanus	65.344	-0.713	0.613	-1.163	0.245	0.361
Psychrobacter cryohalolentis	1.455	-1.484	1.275	-1.164	0.244	0.361
Polaromonas naphthalenivorans	124.94	-0.547	0.472	-1.16	0.246	0.363
Streptococcus sp. 2_1_36FAA	234.769	0.623	0.54	1.153	0.249	0.367
Cyanothece sp. PCC 8802	17.78	-1.067	0.928	-1.15	0.25	0.367
Ruminococcus sp. 5_1_39BFAA	19.429	-1.921	1.672	-1.149	0.251	0.368
Blautia hydrogenotrophica	2.044	3.459	3.013	1.148	0.251	0.368
Shigella boydii	1.682	1.902	1.677	1.134	0.257	0.376
Ralstonia pickettii	339.104	-0.972	0.858	-1.132	0.257	0.376
Starkeya novella	32.105	-1.251	1.107	-1.131	0.258	0.377
Roseburia inulinivorans	65.034	-1.654	1.488	-1.112	0.266	0.387
Mycobacterium ulcerans	33.512	-1.607	1.445	-1.112	0.266	0.387
Clostridiales genomosp. BVAB3	0.51	1.827	1.644	1.111	0.266	0.387
Francisella novicida	3.468	-2.154	1.94	-1.11	0.267	0.387
Hydrogenobaculum sp. Y04AAS1	0.929	-3.316	3.013	-1.101	0.271	0.392
Clostridium sp. M62/1	5	-2.388	2.17	-1.101	0.271	0.392
Paludibacter propionicigenes	37.716	-1.006	0.917	-1.098	0.272	0.393
Candidatus Accumulibacter phosphatis	2.022	-1.221	1.115	-1.096	0.273	0.394
Thermosinus carboxydivorans	0.687	-3.079	2.821	-1.092	0.275	0.396
Atopobium parvulum	122.689	-0.57	0.53	-1.075	0.282	0.406
Ureaplasma urealyticum	44.169	1.793	1.67	1.074	0.283	0.406
Corynebacterium amycolatum	0.672	2.135	1.996	1.07	0.285	0.408
Acinetobacter junii	0.957	-1.466	1.37	-1.07	0.285	0.408
Variovorax paradoxus	4.564	-1.283	1.204	-1.065	0.287	0.41
Actinobacillus succinogenes	50.84	-0.723	0.683	-1.059	0.289	0.413
Actinosynnema mirum	60.564	-0.771	0.727	-1.06	0.289	0.413
Brevibacterium linens	78.842	1.136	1.078	1.054	0.292	0.416
Segniliparus rotundus	0.651	2.135	2.07	1.032	0.302	0.43
Oceanibulbus indolifex	0.599	-3.101	3.029	-1.024	0.306	0.434
Actinomyces odontolyticus	0.819	2.45	2.398	1.022	0.307	0.435
Mannheimia haemolytica	1.014	2.046	2.019	1.013	0.311	0.44
Geobacter sp. M21	36.423	-0.745	0.741	-1.005	0.315	0.443
Xenorhabdus nematophila	0.595	2.007	1.995	1.006	0.314	0.443
Pedobacter sp. BAL39	1.104	1.807	1.793	1.007	0.314	0.443
Campylobacter lari	0.83	-3.036	3.018	-1.006	0.314	0.443
Lysinibacillus fusiformis	0.656	-1.705	1.7	-1.003	0.316	0.444
Bacillus cytotoxicus	683.376	0.44	0.443	0.995	0.32	0.449
Pasteurella dagmatis	0.671	-3.001	3.031	-0.99	0.322	0.452
Janthinobacterium sp. Marseille	64.014	0.874	0.894	0.978	0.328	0.459
Opitutus terrae	0.785	-1.421	1.458	-0.974	0.33	0.461
Pseudoalteromonas atlantica	2.296	1.156	1.193	0.969	0.333	0.464
Edwardsiella ictaluri	4.008	-1.449	1.505	-0.963	0.335	0.468
Shewanella pealeana	0.785	1.293	1.345	0.962	0.336	0.468
Francisella philomiragia	13.326	1.366	1.424	0.959	0.338	0.469
Bacteroides vulgatus	190.843	0.446	0.468	0.953	0.34	0.473
Burkholderia thailandensis	8.101	-1.033	1.088	-0.95	0.342	0.475
Staphylococcus capitis	24.546	1.129	1.192	0.947	0.344	0.476
Bdellovibrio bacteriovorus	1.847	1.408	1.498	0.94	0.347	0.48
Fusobacterium sp. 1_1_41FAA	0.493	-2.849	3.035	-0.939	0.348	0.48
Bacillus anthracis	203.663	-0.364	0.392	-0.929	0.353	0.487
Chromohalobacter salexigens	65.201	0.562	0.607	0.927	0.354	0.487
candidate division TM7 single-cell isolate TM7a	3.442	-1.317	1.421	-0.927	0.354	0.487
Cupriavidus pinatubonensis	50.286	-0.722	0.784	-0.921	0.357	0.491
Brevibacterium mcbrellneri	3.397	1.302	1.424	0.914	0.361	0.494
Corynebacterium sp. L2-79-05	0.635	1.503	1.703	0.882	0.378	0.517
Methylibium petroleiphilum	6.417	-0.812	0.937	-0.867	0.386	0.526
Cyanothece sp. PCC 7424	1.21	-1.888	2.173	-0.869	0.385	0.526
Selenomonas sputigena	0.948	1.735	1.997	0.869	0.385	0.526
Rhodococcus opacus	0.643	1.493	1.73	0.863	0.388	0.529
marine actinobacterium PHSC20C1	75.794	-0.981	1.142	-0.858	0.391	0.53
Candidatus Pelagibacter ubique	6.767	1.526	1.774	0.86	0.39	0.53
Thermaerobacter subterraneus	0.523	-2.51	2.925	-0.858	0.391	0.53
Acetobacter pasteurianus	1.073	-2.102	2.488	-0.845	0.398	0.539
Maribacter sp. HTCC2170	40.12	0.937	1.112	0.843	0.399	0.54
Rhizobium etli	313.498	0.454	0.548	0.828	0.408	0.551
Neisseria polysaccharea	0.36	-2.434	2.995	-0.813	0.416	0.562
Lactobacillus gasseri	837.967	-0.428	0.528	-0.809	0.418	0.564
Slackia exigua	0.337	-1.933	2.405	-0.804	0.421	0.567
Dickeya dadantii	210.416	0.498	0.624	0.797	0.425	0.57
Bartonella tribocorum	0.827	-1.19	1.49	-0.799	0.424	0.57
Persephonella marina	0.549	1.516	1.909	0.794	0.427	0.572
Sodalis glossinidius	4.26	0.771	0.983	0.784	0.433	0.58
Nocardioides sp. JS614	94.663	-0.821	1.052	-0.78	0.435	0.582
Aeromicrobium marinum	0.506	2.356	3.024	0.779	0.436	0.582
Brevundimonas subvibrioides	2.442	-0.625	0.807	-0.775	0.438	0.584
Lactobacillus iners	8.121	0.88	1.139	0.773	0.439	0.585
Fusobacterium sp. 3_1_27	5.584	1.662	2.153	0.772	0.44	0.585
Leptospira interrogans	0.528	1.882	2.44	0.771	0.441	0.585
Aquifex aeolicus	0.363	-1.821	2.38	-0.765	0.444	0.589
Pelobacter propionicus	1.042	-0.986	1.291	-0.763	0.445	0.59
Burkholderia phytofirmans	26.443	0.985	1.295	0.76	0.447	0.591
Vibrio coralliilyticus	0.646	-2.2	2.901	-0.758	0.448	0.592
Flavobacteria bacterium BBFL7	1.872	-0.876	1.16	-0.755	0.45	0.594
Citrobacter koseri	71.931	-0.316	0.423	-0.748	0.454	0.597
Neisseria flavescens	0.968	-2.167	2.892	-0.749	0.454	0.597
Actinomyces sp. oral taxon 848	0.7	2.234	3.02	0.74	0.459	0.604
Yersinia frederiksenii	1.227	-1.071	1.453	-0.737	0.461	0.605
Pseudomonas syringae	22.722	-0.48	0.652	-0.736	0.462	0.605
Salinispora arenicola	0.83	-0.835	1.137	-0.735	0.462	0.605
Sphaerobacter thermophilus	13.211	-1.277	1.742	-0.733	0.463	0.606
Streptomyces albus	0.663	2.173	2.977	0.73	0.465	0.607
Crocosphaera watsonii	0.447	2.204	3.026	0.728	0.466	0.608
Clostridium sp. 7_2_43FAA	0.515	-1.687	2.367	-0.713	0.476	0.62
Anaeromyxobacter sp. K	21.843	0.765	1.078	0.709	0.478	0.622
Sagittula stellata	0.295	-1.712	2.434	-0.703	0.482	0.625
Yersinia kristensenii	0.419	-1.167	1.668	-0.7	0.484	0.627
Lactobacillus ultunensis	26.924	-0.738	1.057	-0.698	0.485	0.628
Acaryochloris marina	0.631	1.417	2.031	0.698	0.485	0.628
Ralstonia solanacearum	285.042	-0.42	0.612	-0.686	0.492	0.635
