Features,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Ralstonia solanacearum,745,145,326,469,97,154,134,255,67,200,154,162,251,169,267,155,162,125,225,324,258,332,121
Citrobacter youngae,1,0,0,4,1529,0,1,0,0,0,0,0,3749,0,0,0,0,0,1,1,1,2,0
Pediococcus acidilactici,6,0,0,2,4,1,305,495,13,478,395,257,253,172,185,377,306,430,421,396,274,376,73
Bacillus anthracis,261,113,198,374,11,256,383,192,296,204,105,81,50,263,229,173,310,243,229,237,298,651,26
Bacillus pseudofirmus,27,27,19,79,3,68,26,373,38,278,375,193,80,517,405,241,351,234,613,367,521,330,18
Heliobacterium modesticaldum,149,101,82,121,4,148,116,126,1658,117,162,211,57,145,337,127,248,128,426,354,153,156,13
Mycobacterium smegmatis,793,421,747,621,22,676,399,12,7,7,0,0,36,5,44,60,682,1,27,2,22,544,0
Thermobifida fusca,670,431,687,514,15,617,328,49,103,25,41,20,10,64,37,24,763,54,45,84,38,348,1
Slackia heliotrinireducens,0,1,2,2,3,3,7,242,263,278,324,230,72,384,368,340,590,220,406,349,512,271,6
Pseudomonas aeruginosa,109,35,36,226,1196,27,85,144,140,283,138,124,230,208,164,184,283,102,337,226,261,326,4
Mycobacterium vanbaalenii,797,529,664,750,110,589,351,2,115,9,1,1,6,0,2,6,259,0,14,0,2,560,0
Brucella abortus,3,0,2,4654,0,0,0,0,24,12,1,0,9,0,0,0,1,0,1,1,2,1,0
Acidaminococcus fermentans,32,23,25,17,2,19,33,412,1742,189,131,150,65,252,318,80,135,169,156,236,155,317,2
Prevotella melaninogenica,0,0,0,1,0,0,0,244,32,350,316,189,87,287,354,246,402,270,603,429,449,388,3
Mesorhizobium loti,273,195,236,2227,37,260,119,96,263,92,55,56,63,76,134,52,132,1,11,2,124,112,1
Campylobacter fetus,931,669,680,775,26,622,512,0,328,0,1,0,0,1,0,0,1,0,1,0,0,37,0
Ralstonia pickettii,1108,194,415,594,144,237,186,52,130,91,81,32,104,59,111,67,57,33,112,29,229,347,164
Campylobacter jejuni,543,373,311,486,33,581,321,159,135,165,170,58,79,79,87,197,306,29,198,54,23,169,0
Scardovia inopinata,1084,463,630,900,36,848,468,6,0,24,1,18,16,1,5,1,1,0,0,0,0,14,0
Corynebacterium pseudotuberculosis,8,0,0,0,0,2,25,1,2,0,6,0,0,13,11,102,57,24,186,36,66,3970,0
Clostridium cellulolyticum,86,3,115,117,9,3,150,140,801,356,140,205,169,187,229,187,164,160,515,246,180,256,12
Truepera radiovictrix,81,34,57,110,2,99,50,320,29,202,195,225,82,420,359,271,289,299,449,316,346,186,3
Pantoea ananatis,3,2,0,4,219,2,54,206,25,161,162,188,712,303,514,203,226,276,422,288,354,89,8
Arcanobacterium haemolyticum,651,391,551,706,12,646,329,103,1,49,33,45,11,76,95,63,68,54,128,119,138,118,3
Brucella pinnipedialis,20,0,0,4326,1,0,3,1,0,0,0,0,3,0,0,0,21,0,0,0,0,2,0
Salinispora tropica,1029,187,700,274,45,863,255,0,80,0,0,0,0,0,0,7,398,1,12,2,62,447,0
Clostridium sticklandii,0,1,1,0,1,0,28,158,86,255,227,137,89,300,571,186,381,130,565,347,454,419,14
Eggerthella lenta,229,155,153,249,6,309,143,203,79,198,168,143,82,240,375,162,255,157,269,228,152,309,5
Paenibacillus larvae,13,1,4,5,1,4,16,276,40,161,191,177,87,332,582,168,208,116,562,467,422,403,1
Agrobacterium tumefaciens,123,34,113,2481,18,68,92,105,32,62,63,46,96,111,95,79,101,67,188,82,31,123,0
Bordetella avium,108,26,67,22,83,31,13,301,85,122,245,287,116,290,475,179,158,133,470,372,525,97,3
Oribacterium sinus,2,2,3,0,1,0,4,200,164,350,230,137,118,299,281,215,402,267,397,320,335,422,15
Corynebacterium striatum,6,0,0,0,0,4,25,0,2,0,2,0,5,2,14,85,2,1,87,7,62,3843,3
Corynebacterium kroppenstedtii,381,258,357,446,18,346,251,0,3,0,1,0,0,2,4,39,92,2,45,7,25,1853,0
Nocardiopsis dassonvillei,92,54,70,88,4,94,54,212,38,239,215,105,86,270,355,214,468,248,297,252,177,466,10
Thermotoga maritima,148,161,147,183,8,273,151,150,92,159,156,130,49,264,195,210,336,149,369,254,232,257,5
Pelotomaculum thermopropionicum,140,70,2,3,1,4,7,26,3184,15,52,50,2,22,50,5,17,27,138,64,50,132,7
Lactobacillus vaginalis,0,0,0,0,55,0,2,302,70,335,252,275,150,264,375,215,326,277,343,232,292,238,0
Streptomyces lividans,768,433,375,814,29,615,422,1,97,8,0,0,7,0,0,3,296,46,2,1,1,65,0
Clostridium hylemonae,640,576,399,754,36,974,442,4,0,0,0,4,11,1,0,0,1,0,22,8,1,0,0
Escherichia sp. 1_1_43,1,0,0,1,3805,0,2,0,0,0,0,0,25,0,3,0,0,0,0,0,1,1,0
Moorella thermoacetica,51,9,20,40,2,2,1,49,2604,54,62,46,49,52,87,106,118,42,165,106,64,38,0
Symbiobacterium thermophilum,191,271,330,152,0,45,166,9,2304,42,1,10,14,0,1,0,37,0,53,0,0,104,24
Desulfovibrio desulfuricans,91,41,1,119,0,109,58,246,589,196,141,104,112,292,142,199,266,188,217,195,201,158,23
Rhizobium leguminosarum,205,139,195,1562,90,243,79,234,117,170,0,76,190,2,43,0,19,1,4,172,7,92,1
Marinomonas sp. MWYL1,32,124,8,146,41,20,3,231,101,212,148,150,157,235,281,196,222,158,326,321,228,258,2
Desulfovibrio vulgaris,632,396,503,654,107,502,317,0,340,2,1,2,5,0,0,2,34,0,1,0,3,56,0
Burkholderia cenocepacia,535,341,340,537,708,382,278,28,9,7,3,1,113,29,7,4,4,3,7,19,101,89,7
Actinobacillus pleuropneumoniae,50,54,139,138,17,213,40,71,589,107,77,221,97,132,191,188,294,168,114,195,83,339,2
Enterobacter cancerogenus,5,2,1,2,515,1,0,0,0,2,0,0,2902,2,2,0,1,1,0,0,6,11,0
Polaromonas naphthalenivorans,248,101,149,239,14,161,81,137,24,188,213,128,114,226,156,117,196,147,221,180,262,142,2
Cronobacter turicensis,0,1,0,4,722,0,0,55,11,34,103,43,1091,110,117,143,123,124,240,116,162,161,3
Corynebacterium resistens,3,0,0,0,32,0,8,100,7,136,96,86,34,174,162,129,169,110,203,123,230,1546,3
Cellulomonas flavigena,436,324,417,548,10,525,161,1,0,0,0,65,20,0,0,1,693,1,1,0,1,94,0
Streptococcus equinus,0,0,0,1,1,0,1,317,13,163,144,126,121,351,281,157,246,228,267,187,295,393,0
Caldicellulosiruptor saccharolyticus,205,162,162,240,12,308,275,203,721,27,102,100,23,48,264,2,99,55,63,18,59,53,3
Atopobium parvulum,249,101,168,152,11,148,136,93,110,46,97,165,32,177,253,104,113,143,372,194,152,120,2
Rhodopseudomonas palustris,289,179,409,678,9,106,72,40,435,49,69,48,241,86,128,49,102,42,6,12,11,77,0
Thermosediminibacter oceani,1,1,6,2,1,0,33,157,269,93,122,176,20,294,426,98,204,121,336,240,227,256,2
Flavobacterium johnsoniae,268,144,107,230,4,164,85,174,246,110,160,144,17,164,57,47,124,103,164,58,254,248,0
Mycobacterium gilvum,545,231,297,635,14,401,246,2,0,0,2,1,0,1,1,6,385,1,5,0,4,291,0
Olsenella uli,95,16,58,41,2,39,2,168,4,253,199,68,54,251,277,223,206,148,280,154,240,271,16
Klebsiella sp. 1_1_55,1,0,0,0,234,0,0,0,0,0,0,0,2809,0,0,0,0,0,0,0,1,1,0
Syntrophomonas wolfei,319,168,267,198,8,311,400,17,1137,3,15,10,3,8,50,12,5,3,8,9,66,20,3
Roseiflexus sp. RS-1,16,11,16,7,1,2,25,236,216,184,175,177,51,156,176,170,203,151,261,312,210,224,6
Sinorhizobium medicae,3,1,1,1016,20,1,0,126,1,197,103,141,66,122,140,18,202,90,237,110,164,202,1
Acinetobacter baumannii,27,14,15,50,375,31,8,195,337,54,170,133,182,84,183,45,229,94,211,70,394,47,2
Photorhabdus luminescens,331,238,233,231,630,250,212,0,101,1,1,4,581,27,1,6,47,0,1,0,12,37,0
Stenotrophomonas maltophilia,566,138,279,356,9,131,93,40,6,77,7,27,68,95,56,41,104,38,128,81,167,388,6
Mannheimia succiniciproducens,0,0,1,3,325,0,0,114,981,92,39,45,206,101,57,69,182,73,121,53,208,226,3
Clostridium sp. HGF2,464,390,293,551,19,777,317,0,0,0,0,0,16,0,0,0,2,0,0,0,0,0,0
Pectobacterium wasabiae,2,3,2,4,19,0,2,167,10,121,199,149,333,80,330,240,112,203,144,211,232,256,1
Gloeobacter violaceus,369,245,342,333,69,349,199,34,162,2,47,0,11,97,73,33,91,48,86,40,37,128,0
Dorea formicigenerans,0,0,0,0,1,0,0,169,23,121,181,204,102,257,345,95,168,100,257,215,260,237,0
Syntrophobacter fumaroxidans,316,153,190,325,74,237,110,78,401,22,4,27,19,94,96,20,187,50,47,142,99,31,1
Xanthobacter autotrophicus,222,7,38,400,30,16,51,67,111,150,64,64,54,173,102,89,181,82,262,161,181,161,6
Geobacter uraniireducens,230,194,272,257,64,273,195,1,1043,2,0,1,0,1,3,0,18,1,87,1,3,1,0
Sinorhizobium meliloti,92,1,4,2085,30,1,0,2,48,7,2,1,42,1,26,25,72,0,86,2,3,106,1
Roseiflexus castenholzii,3,11,4,16,1,3,10,73,413,145,138,165,39,225,187,154,174,93,184,149,194,149,6
Pseudomonas putida,324,131,96,422,194,149,113,12,239,19,30,10,181,18,122,7,106,2,19,20,124,193,2
Histophilus somni,133,115,68,93,13,107,129,90,461,107,87,38,48,98,141,23,160,59,28,169,167,179,3
Escherichia sp. 4_1_40B,1,0,0,1,2409,0,1,0,0,0,0,0,92,0,1,1,3,0,0,0,0,1,1
Tolumonas auensis,0,1,3,3,30,0,2,191,11,96,86,121,167,192,260,163,208,137,228,145,209,245,5
Bifidobacterium gallicum,647,211,522,405,26,430,244,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Brevibacterium linens,76,63,46,36,1,32,51,2,1,0,3,1,0,0,2,22,1254,2,19,3,67,787,0
Pseudomonas syringae group genomosp. 3,98,46,20,185,788,27,7,109,7,52,55,49,71,117,4,61,126,72,135,115,127,190,1
Mycobacterium avium,462,201,230,241,4,191,200,2,0,1,1,2,3,0,4,13,285,0,15,3,4,583,0
Thermotoga petrophila,275,194,86,169,32,168,172,115,21,96,93,56,27,146,12,70,136,102,118,118,102,112,7
Aliivibrio salmonicida,0,0,1,4,0,0,0,163,37,144,124,125,63,195,237,157,228,133,213,194,203,196,1
Thermoanaerobacter mathranii,0,0,0,0,0,0,15,50,16,80,59,100,93,158,417,169,266,81,217,89,230,342,3
Vibrio parahaemolyticus,379,414,235,336,52,297,159,0,468,0,1,0,28,1,0,0,1,0,1,0,2,3,0
Albidiferax ferrireducens,349,280,554,432,77,334,264,0,35,0,3,1,1,2,3,1,10,0,2,2,2,14,2
Photobacterium profundum,131,159,71,116,57,328,101,123,222,3,73,23,307,95,32,16,63,80,61,120,34,140,2
Lactobacillus ruminis,0,0,0,0,1,0,33,149,20,154,178,115,53,291,113,132,146,80,285,193,173,215,4
Nocardioides sp. JS614,71,151,80,269,5,202,29,12,70,8,6,1,2,25,1,3,925,2,10,91,11,350,0
Chromobacterium violaceum,291,226,206,262,527,213,173,47,49,18,1,9,109,4,6,29,31,15,1,73,7,24,1
Bradyrhizobium japonicum,403,211,261,712,127,212,232,2,72,1,2,1,4,4,4,2,22,1,4,2,7,27,0
Gordonia bronchialis,349,178,257,199,5,160,112,1,58,0,1,0,9,51,0,5,428,2,13,0,8,452,0
Pseudomonas mendocina,19,21,9,205,462,31,39,87,230,35,79,57,14,121,115,93,133,73,168,77,100,116,1
Marvinbryantia formatexigens,314,412,342,464,19,469,243,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kribbella flavida,15,10,0,18,0,23,3,163,4,95,64,135,27,146,188,78,401,123,200,120,161,288,1
Mycobacterium leprae,213,197,118,179,7,177,113,72,49,68,16,45,24,85,99,52,164,79,1,118,143,229,0
Bordetella bronchiseptica,447,147,177,269,635,211,148,0,122,0,1,0,21,0,2,1,24,0,2,1,4,25,0
Acidovorax sp. JS42,249,138,140,173,40,67,84,83,194,84,86,38,66,66,38,58,125,70,127,53,131,108,3
Pseudomonas stutzeri,171,60,22,124,20,10,34,170,76,66,126,105,49,3,167,113,143,105,213,141,145,148,3
Spirochaeta smaragdinae,0,0,0,1,11,0,23,189,20,81,104,150,71,201,200,139,149,223,264,124,152,104,1
Proteus mirabilis,4,0,3,18,322,1,2,19,122,144,106,72,469,79,122,125,99,88,213,131,4,48,0
Sanguibacter keddieii,40,37,26,186,2,72,88,66,1,17,29,35,86,105,30,33,921,53,35,43,91,189,0
Chromohalobacter salexigens,63,50,53,76,9,38,42,42,167,29,19,52,111,233,269,221,74,26,41,262,207,90,1
Acetohalobium arabaticum,0,0,0,0,1,0,0,150,20,225,23,59,36,229,111,40,135,81,377,196,250,235,4
Parvimonas micra,298,325,247,480,21,603,188,1,2,0,0,0,1,2,0,0,0,0,0,0,0,2,0
Aliivibrio fischeri,403,215,248,356,10,366,112,0,225,2,0,0,104,7,0,56,11,2,1,0,5,34,0
Alicyclobacillus acidocaldarius,14,3,4,3,0,3,3,84,147,115,211,120,85,205,128,69,146,72,60,226,259,195,4
Herpetosiphon aurantiacus,2,9,4,3,35,4,0,155,41,81,105,98,28,185,127,122,141,121,259,180,235,204,1
Thermosynechococcus elongatus,26,5,1,1,3,79,77,159,169,65,119,123,20,193,209,118,153,73,244,175,123,1,3
Geobacillus sp. Y412MC61,835,159,412,147,4,187,87,26,0,0,0,0,11,53,40,16,19,48,24,44,20,0,0
Yersinia enterocolitica,147,2,11,6,554,88,37,8,153,123,3,38,847,24,4,1,26,0,3,17,3,37,0
Thermoanaerobacter pseudethanolicus,0,1,0,0,1,0,0,81,15,106,71,79,53,244,302,133,147,120,288,103,144,202,0
Actinobacillus succinogenes,152,50,39,82,9,48,45,30,806,76,55,13,74,17,96,15,77,40,194,118,5,22,2
Chelativorans sp. BNC1,348,91,30,1262,29,115,48,1,24,18,5,0,23,0,18,2,3,0,4,0,2,37,0
Rhodopirellula baltica,279,94,183,215,3,198,116,58,274,10,42,77,30,38,35,59,46,24,41,34,71,97,0
Thermosipho africanus,0,0,1,0,0,0,2,179,127,134,104,123,66,181,158,141,148,132,169,144,85,120,4
Bacteroides sp. 4_3_47FAA,4,49,0,0,108,0,1,294,13,167,118,100,44,231,192,85,82,60,109,48,109,191,0
Acidothermus cellulolyticus,241,185,266,330,3,316,102,0,96,0,0,0,0,0,0,5,381,2,3,0,4,50,0
Brachyspira hyodysenteriae,425,195,200,328,8,351,203,8,212,4,1,2,4,7,4,0,9,1,0,4,3,14,0
Bradyrhizobium sp. ORS278,363,212,290,477,35,323,181,2,16,2,0,1,24,0,20,1,8,0,2,0,2,23,0
Blastopirellula marina,394,268,292,292,27,365,199,1,91,13,0,0,3,2,2,2,9,0,0,0,1,12,0
Mycoplasma mobile,0,0,0,0,0,0,0,155,26,152,47,100,13,210,88,100,189,58,249,156,172,255,3
Yersinia pseudotuberculosis,2,0,1,46,1294,0,2,1,38,2,1,2,496,0,4,3,18,1,4,1,4,51,1
Erwinia tasmaniensis,4,1,2,3,1145,1,2,12,8,81,52,3,323,2,44,0,31,70,48,13,66,52,0
Bradyrhizobium sp. BTAi1,198,37,82,310,47,112,263,53,36,1,2,0,55,4,150,110,118,115,2,183,2,70,2
Vibrio cholerae,7,1,0,10,103,1,6,64,124,5,58,79,371,235,27,93,79,172,131,105,82,180,1
Janthinobacterium sp. Marseille,14,4,3,44,88,4,3,110,30,60,78,81,86,134,194,52,99,97,267,181,162,128,3
Pasteurella multocida,194,0,4,9,27,1,16,43,589,89,39,35,23,153,151,54,214,74,39,22,83,62,0
Catenulispora acidiphila,259,164,257,149,6,135,129,18,2,39,23,4,18,64,105,24,200,23,1,49,99,124,0
Nakamurella multipartita,111,97,142,175,3,170,90,3,0,24,31,5,22,47,96,8,298,10,51,75,61,347,6
Paracoccus denitrificans,156,84,94,523,7,134,74,89,71,120,84,91,61,93,155,2,0,1,1,1,1,25,1
Brachybacterium faecium,6,0,3,5,1,4,1,0,1,1,0,3,12,3,1,21,1161,1,11,4,16,603,2
Thermanaerovibrio acidaminovorans,1,0,0,4,0,1,1,172,21,247,240,43,26,151,182,40,100,67,158,108,134,155,5
Mycoplasma penetrans,0,0,0,0,0,0,0,106,135,107,27,60,45,118,174,63,84,137,240,143,238,178,0
Gramella forsetii,15,76,1,114,3,100,33,191,262,4,149,5,47,116,61,46,140,15,177,104,161,25,4
Mycobacterium tuberculosis,226,248,137,250,12,289,121,11,41,0,100,1,2,0,17,10,207,1,4,1,8,163,0
Ketogulonicigenium vulgare,1,43,15,17,1,0,0,354,22,235,193,237,58,276,350,0,1,0,0,0,1,21,0
Marinobacter hydrocarbonoclasticus,334,150,278,340,47,272,155,0,97,4,2,0,3,2,2,1,51,1,6,1,24,37,0
Parascardovia denticolens,390,231,233,407,12,315,205,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0
Saccharophagus degradans,318,162,89,108,14,154,150,47,6,49,65,62,35,50,117,38,55,19,71,71,63,55,0
Caldicellulosiruptor kronotskyensis,0,0,0,1,0,0,23,129,2,78,80,46,59,211,148,91,169,57,121,167,212,198,2
Deinococcus radiodurans,285,72,190,147,5,115,141,107,20,108,71,45,15,176,166,0,84,1,7,1,1,32,0
Ureaplasma urealyticum,0,0,0,0,0,0,155,122,5,131,61,98,34,171,168,111,87,110,165,128,91,144,0
marine actinobacterium PHSC20C1,156,86,90,106,2,144,88,1,0,1,0,0,1,1,3,3,741,2,3,2,5,332,0
Thermaerobacter marianensis,2,1,2,2,19,1,0,46,4,116,22,120,64,191,262,145,142,114,123,74,166,138,2
Verminephrobacter eiseniae,203,84,115,329,95,180,68,26,8,44,47,52,65,16,76,9,81,12,90,47,46,61,2
Streptomyces scabiei,379,69,246,248,27,257,143,0,114,0,1,0,2,2,0,0,186,0,0,0,1,69,1
Parvibaculum lavamentivorans,2,1,1,67,39,0,1,112,27,107,3,85,56,150,140,103,142,115,125,118,182,146,10
Aeromonas hydrophila,77,41,92,142,29,59,57,10,245,20,11,24,435,30,68,19,120,26,23,41,86,64,0
Xanthomonas oryzae,269,171,285,305,9,222,166,6,79,13,3,11,17,7,3,4,25,8,13,9,21,59,1
Streptococcus oralis,1,0,0,2,0,0,0,148,253,38,34,7,7,17,78,88,155,102,136,127,76,433,0
Campylobacter curvus,0,0,0,1,0,0,0,109,549,79,55,35,14,91,97,65,109,52,131,100,135,79,0
Chlorobium phaeobacteroides,44,9,16,21,7,4,2,30,87,147,158,0,64,145,0,96,131,58,189,168,177,87,44
Streptobacillus moniliformis,52,0,1,2,0,0,43,118,168,63,7,65,7,130,132,34,101,43,150,175,185,207,1
Bacillus tusciae,8,4,2,1,0,0,1,171,30,105,118,78,74,85,220,78,133,106,174,137,72,81,4
Psychromonas sp. CNPT3,377,232,269,334,3,298,139,0,1,0,0,0,8,0,0,0,1,0,0,0,0,1,0
Aggregatibacter aphrophilus,0,1,0,0,0,0,0,82,555,63,69,89,20,59,154,25,69,30,123,150,27,124,3
Finegoldia magna,0,1,3,4,0,0,3,63,432,37,104,79,30,85,109,17,97,59,228,108,92,64,7
Weissella paramesenteroides,0,1,0,0,2,0,1,23,0,14,87,122,64,209,159,58,193,102,133,178,74,199,0
Polaromonas sp. JS666,131,8,164,198,19,39,11,44,162,37,111,17,73,25,125,36,101,15,53,91,26,119,8
Ruminococcus gnavus,281,152,182,227,9,216,147,16,1,11,4,8,10,18,25,35,73,25,60,52,10,24,0
Sodalis glossinidius,5,1,3,7,1190,1,0,0,22,1,1,0,247,2,50,3,1,1,4,22,0,21,2
Clostridium spiroforme,298,165,181,402,5,239,134,0,5,0,0,0,17,51,0,0,0,1,83,0,0,2,0
Yersinia bercovieri,1,1,0,4,1406,1,0,0,17,0,0,0,137,0,0,0,13,0,0,0,0,1,0
Meiothermus silvanus,153,81,98,9,7,70,88,58,2,48,46,45,7,115,86,53,109,42,120,39,160,134,1
Laribacter hongkongensis,1,1,0,7,99,1,0,111,13,49,119,83,22,115,146,100,85,109,158,122,113,109,1
Bacteroides fragilis,203,109,204,222,6,300,161,2,288,3,1,1,4,0,0,1,1,1,8,0,4,37,2
Thermoanaerobacter brockii,116,31,28,2,2,12,52,160,126,129,149,69,34,113,162,14,6,68,1,120,6,154,0
Edwardsiella tarda,4,8,45,0,890,1,75,6,182,0,0,0,328,1,3,0,3,0,0,0,1,4,0
Dictyoglomus thermophilum,0,1,1,0,1,0,0,133,249,37,40,32,13,116,141,71,90,47,131,123,209,112,2
Pelobacter carbinolicus,220,103,87,210,7,181,83,13,393,4,1,10,33,69,7,24,13,5,2,14,33,36,0
Thermotoga lettingae,0,1,0,7,0,0,0,155,134,24,85,67,23,137,100,57,107,72,177,84,139,173,3
Arthrobacter chlorophenolicus,48,25,48,142,5,28,24,12,2,9,22,0,98,1,0,6,759,50,105,0,87,69,0
Hahella chejuensis,224,95,118,486,104,54,137,0,203,2,0,11,39,1,1,31,20,2,2,0,1,5,2
Ralstonia sp. 5_7_47FAA,377,59,157,189,57,29,29,24,23,42,41,12,41,24,42,27,9,11,35,12,88,126,74
Beutenbergia cavernae,322,25,35,104,5,63,77,3,37,5,1,6,2,1,2,0,658,1,4,2,1,168,0
Magnetococcus sp. MC-1,273,156,191,186,9,217,136,0,175,0,0,0,1,0,0,0,0,0,141,15,0,15,0
Bacteroides thetaiotaomicron,593,23,3,99,56,63,74,66,53,1,37,67,4,121,4,1,77,1,2,158,6,3,2
Desulfovibrio salexigens,294,158,221,319,31,276,94,1,113,0,0,0,5,0,0,0,0,0,0,0,1,0,0
Fibrobacter succinogenes,207,0,127,0,6,196,111,128,3,30,73,42,8,83,103,32,45,3,94,51,97,58,1
Rhodobacter sphaeroides,3,156,129,404,473,140,98,4,1,3,1,2,22,0,1,0,41,0,5,0,0,11,0
Aeromonas salmonicida,59,3,10,15,167,3,8,23,145,2,91,1,103,79,136,72,201,78,40,111,53,74,6
Neisseria meningitidis,3,1,0,2,664,1,1,2,535,24,5,4,18,7,34,22,103,12,10,5,0,16,5
Clostridium sp. SS2/1,87,122,120,119,7,180,59,54,1,35,17,27,25,101,48,16,71,31,60,29,168,92,3
Streptococcus sp. oral taxon 071,0,0,0,0,0,0,0,41,74,88,109,61,32,0,174,158,144,155,84,128,5,211,0
Sphingomonas wittichii,117,82,93,198,546,190,160,1,44,2,0,0,5,1,0,1,6,1,0,1,2,13,0
Fervidobacterium nodosum,83,74,94,33,1,71,70,40,423,95,14,14,11,49,10,52,101,23,13,83,19,87,2
Nitrosospira multiformis,226,129,189,197,6,186,94,0,386,6,1,1,14,1,0,1,1,0,1,0,4,12,0
Microcystis aeruginosa,1,4,3,1,0,12,0,11,29,51,125,40,11,53,231,47,165,45,204,125,164,116,0
Candidatus Solibacter usitatus,138,235,121,26,71,369,120,0,206,11,0,7,41,1,0,0,61,0,0,2,2,14,0
Polynucleobacter necessarius,183,73,198,244,3,156,113,0,6,6,27,50,18,12,24,3,54,11,35,70,30,91,0
Ruminococcus obeum,203,285,149,293,7,323,77,1,1,2,1,0,3,10,0,0,5,0,0,0,2,42,0
Pantoea vagans,1,1,0,1,63,0,97,67,0,104,77,72,367,42,116,7,105,3,136,35,95,6,2
Shuttleworthia satelles,0,0,0,0,1,0,87,68,12,99,87,64,37,121,97,84,97,75,122,73,84,185,0
Petrotoga mobilis,0,0,0,4,0,0,0,104,26,42,62,116,51,111,87,121,41,71,205,120,132,84,0
Thermoanaerobacter sp. X513,2,2,5,2,0,5,29,88,465,18,30,36,9,7,132,77,201,49,53,23,18,124,2
Actinosynnema mirum,133,94,84,108,5,20,60,9,2,1,16,27,8,36,31,57,208,48,7,6,76,339,1
Myxococcus xanthus,82,53,58,107,91,108,19,54,177,90,31,22,26,74,53,41,45,31,44,69,51,50,0
Mycobacterium sp. JLS,179,98,145,159,4,244,86,0,8,0,0,0,1,1,0,2,176,0,5,1,0,263,0
Erwinia billingiae,1,0,1,8,121,0,0,43,52,47,68,62,367,106,50,34,59,26,135,101,47,33,0
Stenotrophomonas sp. SKA14,255,64,130,136,5,58,39,21,78,37,7,12,21,39,23,23,28,12,71,39,62,188,6
Chloroflexus aurantiacus,0,0,0,0,0,0,0,116,7,70,65,79,18,108,98,66,106,87,131,177,108,98,0
Methylococcus capsulatus,298,112,176,199,47,275,153,0,0,0,0,0,30,0,0,0,21,0,2,1,1,3,0
Xylella fastidiosa,214,125,197,222,34,175,103,2,101,3,1,1,20,2,1,1,70,2,5,5,11,20,3
Legionella pneumophila,226,151,122,262,30,256,130,2,119,1,0,0,5,0,0,2,7,0,0,0,2,0,2
Micrococcus luteus,42,44,54,64,0,43,48,4,32,0,2,5,3,2,0,4,639,2,11,6,11,301,0
Roseburia inulinivorans,59,28,35,38,8,100,459,72,86,82,1,13,52,21,195,0,4,1,1,0,0,4,31
Streptomyces coelicolor,128,130,74,43,7,112,9,40,56,0,20,11,30,57,11,1,233,0,2,97,3,224,0
Thermomicrobium roseum,3,47,14,56,0,3,50,0,57,202,161,56,39,3,3,1,225,137,0,0,201,28,0
Nitrosococcus halophilus,2,0,0,0,16,1,0,73,3,36,23,0,1,121,104,98,38,59,222,190,267,18,0
Tropheryma whipplei,268,126,252,214,1,149,105,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0
Desulfobacterium autotrophicum,91,1,55,5,2,85,0,1,88,35,51,24,27,87,64,33,153,135,62,111,65,95,0
Arthrobacter arilaitensis,38,38,48,45,2,18,5,23,1,28,11,3,18,47,46,62,253,46,86,45,60,324,5
Shewanella baltica,1,0,0,6,803,13,99,22,7,0,82,1,93,1,1,8,17,26,2,2,31,36,0
Oceanicola batsensis,2,1,2,36,0,1,1,61,4,74,47,49,29,94,96,52,111,76,106,75,137,173,1
Thermosipho melanesiensis,1,1,0,6,0,0,0,169,110,121,99,78,45,0,182,1,26,117,167,99,0,1,0
Cupriavidus metallidurans,176,38,84,164,19,38,22,12,144,31,10,16,96,24,21,16,36,6,34,20,59,124,13
Streptomyces sviceus,245,178,149,265,8,211,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Rhodothermus marinus,0,1,0,6,0,0,1,71,4,62,77,104,30,106,143,65,107,42,31,118,78,139,2
Coraliomargarita akajimensis,0,0,0,0,1,2,0,7,11,67,139,83,25,93,64,84,104,130,129,78,88,66,1
Herminiimonas arsenicoxydans,17,6,17,72,10,52,0,1,85,70,85,2,35,224,2,129,17,1,163,0,170,8,0
Cupriavidus pinatubonensis,69,11,34,58,92,9,4,9,6,56,65,48,56,92,85,56,52,8,64,26,154,105,3
Shewanella sp. ANA-3,232,151,142,219,26,261,72,3,2,6,0,0,21,0,0,1,0,0,2,0,1,19,0
Erythrobacter litoralis,7,0,21,112,0,2,1,49,73,59,46,33,17,75,68,50,94,49,105,75,122,98,1
Roseburia intestinalis,25,26,17,5,5,27,4,133,12,33,99,20,31,8,16,57,35,55,47,211,188,102,1
Geobacter metallireducens,4,1,3,4,5,2,1,2,859,16,0,0,0,0,16,3,7,2,0,113,111,4,0
Frankia alni,146,132,111,19,2,155,149,0,180,0,1,1,7,0,0,4,197,0,0,0,0,45,0
Anaeromyxobacter sp. Fw109-5,214,122,145,155,4,181,175,0,96,0,0,1,0,1,0,0,34,0,2,0,1,15,0
Serratia odorifera,105,24,28,39,155,17,8,2,0,13,2,5,618,11,5,4,13,4,13,6,26,47,1
Nostoc sp. PCC 7120,10,5,20,86,11,6,23,70,169,7,31,45,11,30,98,23,47,39,111,63,125,111,3
